Test,First,Function,Iterations,GA%,PSO%,GA iterations,PSO iterations,Current iteration,Current Algorithm,Gen/Epoch#,Indv #,X,Y
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,19,1.0741999999999994,0.11811092402341272
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,20,1.0932999999999993,0.24285712670026993
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,21,1.0742999999999991,0.118425202529574
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,22,1.0686999999999998,0.10630970198372058
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,23,1.0749999999999993,0.12072525573894577
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,24,1.0741999999999994,0.11811092402341272
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,25,2.3279999999999994,4.100976780370882
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,26,1.0953,0.26332383426783335
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,27,1.0742999999999991,0.118425202529574
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,28,2.2036999999999995,4.619055024074928
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,29,0.4047999999999998,0.7651537098891783
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,30,1.0572,0.11576679300815174
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,31,1.3815000000000008,0.7907610248219558
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,32,1.0749999999999993,0.12072525573894577
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,33,1.0745000000000005,0.11906448251712132
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,34,1.0749999999999993,0.12072525573894577
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,35,1.0745000000000005,0.11906448251712132
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,36,1.0749999999999993,0.12072525573894577
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,37,1.0749999999999993,0.12072525573894577
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,38,1.3819999999999997,0.7976362590058749
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,39,1.3925,0.9722201680074712
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,40,1.0745000000000005,0.11906448251712132
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,41,1.0249000000000006,0.35966850901434455
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,42,1.3798999999999992,0.7696859629480068
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,43,-9.721,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,44,1.3790999999999993,0.7596824742954835
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,45,1.0749999999999993,0.12072525573894577
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,46,1.3813999999999993,0.7894024229307826
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,47,0.19640000000000057,1.1091712421591133
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,48,1.2790999999999997,1.833353804051788
1,GA,1,20,100.0%,0.0%,20.0,0.0,4,GA,4,49,1.0686999999999998,0.10630970198372058
1,GA,1,20,100.0%,0.0%,20.0,0.0,5,GA,5,0,1.0751000000000008,0.12106814086317885
1,GA,1,20,100.0%,0.0%,20.0,0.0,5,GA,5,1,1.2790999999999997,1.833353804051788
1,GA,1,20,100.0%,0.0%,20.0,0.0,5,GA,5,2,1.0745000000000005,0.11906448251712132
1,GA,1,20,100.0%,0.0%,20.0,0.0,5,GA,5,3,1.0749999999999993,0.12072525573894577
1,GA,1,20,100.0%,0.0%,20.0,0.0,5,GA,5,4,1.0686999999999998,0.10630970198372058
1,GA,1,20,100.0%,0.0%,20.0,0.0,5,GA,5,5,1.0749999999999993,0.12072525573894577
1,GA,1,20,100.0%,0.0%,20.0,0.0,5,GA,5,6,1.0678999999999998,0.10548576632511408,bestInCurrentpop
1,GA,1,20,100.0%,0.0%,20.0,0.0,5,GA,5,7,1.3813999999999993,0.7894024229307826
1,GA,1,20,100.0%,0.0%,20.0,0.0,5,GA,5,8,-0.9377999999999993,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,5,GA,5,9,0.2797999999999998,1.095771102333929
1,GA,1,20,100.0%,0.0%,20.0,0.0,5,GA,5,10,1.0749999999999993,0.12072525573894577
1,GA,1,20,100.0%,0.0%,20.0,0.0,5,GA,5,11,1.0569000000000006,0.1166138882932829
1,GA,1,20,100.0%,0.0%,20.0,0.0,5,GA,5,12,1.0745000000000005,0.11906448251712132
1,GA,1,20,100.0%,0.0%,20.0,0.0,5,GA,5,13,1.0686999999999998,0.10630970198372058
1,GA,1,20,100.0%,0.0%,20.0,0.0,5,GA,5,14,1.0741999999999994,0.11811092402341272
